"type","group","kanji","kana","translation_ru","translation_en","pattern"
"word","Jisho-N4","急行","きゅうこう","","hurrying (to somewhere); rushing; hastening",""
"word","Jisho-N4","地理","ちり","","geography",""
"word","Jisho-N4","電灯","でんとう","","electric light",""
"word","Jisho-N4","踊り","おどり","","dance",""
"word","Jisho-N4","又は","または","","or; either ... or ...",""
"word","Jisho-N4","細かい","こまかい","","small; fine; minute",""
"word","Jisho-N4","適当","てきとう","","suitable; proper; appropriate",""
"word","Jisho-N4","課長","かちょう","","section manager; section chief",""
"word","Jisho-N4","盛ん","さかん","","prosperous; flourishing; thriving",""
"word","Jisho-N4","引き出す","ひきだす","","to pull out; to take out; to draw out",""
"word","Jisho-N4","暖房","だんぼう","","(indoor) heating",""
"word","Jisho-N4","割合","わりあい","","rate; ratio; percentage",""
"word","Jisho-N4","申す","もうす","","to say; to be called",""
"word","Jisho-N4","売り場","うりば","","selling area; counter; section",""
"word","Jisho-N4","退院","たいいん","","leaving hospital; discharge from hospital",""
"word","Jisho-N4","受付","うけつけ","","reception (desk); information desk; receptionist",""
"word","Jisho-N4","苦い","にがい","","bitter",""
"word","Jisho-N4","講堂","こうどう","","auditorium; lecture hall",""
"word","Jisho-N4","不便","ふべん","","inconvenience; inexpediency; unhandiness",""
"word","Jisho-N4","下宿","げしゅく","","boarding; lodging; board and lodging",""
"word","Jisho-N4","食料品","しょくりょうひん","","foodstuff; groceries",""
"word","Jisho-N4","新聞社","しんぶんしゃ","","newspaper company",""
"word","Jisho-N4","写す","うつす","","to copy; to duplicate; to reproduce",""
"word","Jisho-N4","湯","ゆ","","hot water; hot bath; hot spring",""
"word","Jisho-N4","屋上","おくじょう","","rooftop",""
"word","Jisho-N4","冷房","れいぼう","","air conditioning; air cooling",""
"word","Jisho-N4","下着","したぎ","","underwear; undergarment; underclothes",""
"word","Jisho-N4","畳","たたみ","","tatami mat; Japanese straw floor coverings",""
"word","Jisho-N4","お嬢さん","おじょうさん","","(another's) daughter; young lady",""
"word","Jisho-N4","沸かす","わかす","","to boil; to heat (a liquid); to prepare (a bath, hot drink)",""
"word","Jisho-N4","漬ける","つける","","to soak (in); to steep; to dip",""
"word","Jisho-N4","特急","とっきゅう","","limited express (train for which a limited-express ticket is required); limited express (train making a limited no. of stops)",""
"word","Jisho-N4","呉れる","くれる","","to give; to let (one) have",""
"word","Jisho-N4","過ぎる","すぎる","","to pass through; to pass by; to go beyond",""
